mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
631,2,0,11219478,13.1985,-8.959328,-1.0,1000.0,1
631,2,0,11219479,13.198301,-8.959236,-1.0,1000.0,1
631,2,0,11219481,13.198807,-8.959504,-1.0,1000.0,1
631,2,0,11219482,13.198566,-8.959229,-1.0,1000.0,2
631,2,0,11220255,13.168921,-8.979613,-1.0,1000.0,1
631,2,0,11220638,13.168773,-8.979909,-1.0,1000.0,2
631,2,0,11221107,13.198362,-8.959319,-1.0,1000.0,1
631,2,0,11221113,13.198238,-8.959514,-1.0,1000.0,1
631,2,0,11242338,13.169071,-8.979722,-1.0,1000.0,2
631,2,0,11242341,13.169025,-8.980084,-1.0,1000.0,1
631,2,0,13054166,13.291851,-8.974396,-1.0,1000.0,1
631,2,0,13078077,13.193001,-8.979377,-1.0,1000.0,1
631,2,1,2566657,13.227115,-8.845994,-1.0,1000.0,1
631,2,1,2566658,13.227124,-8.845883,-1.0,1000.0,2
631,2,1,2566912,13.336444,-8.881183,-1.0,1000.0,5
631,2,1,2567681,13.231586,-8.835897,-1.0,1000.0,3
631,2,1,2567682,13.229279,-8.835979,-1.0,1000.0,4
631,2,1,2568194,13.243982,-8.826717,-1.0,1000.0,1
631,2,1,2569216,13.318742,-8.870066,-1.0,1000.0,2
631,2,1,2569218,13.310447,-8.864744,-1.0,1000.0,9
631,2,1,5122817,13.283157348633,-8.8254547119141,-1.0,1000.0,2
631,2,1,5122818,13.283157348633,-8.8309478759766,-1.0,1000.0,1
631,2,1,5122819,13.279037475586,-8.8309478759766,-1.0,1000.0,1
631,2,1,5135107,13.240585327148,-8.7966156005859,-1.0,1000.0,1
631,2,1,5138177,13.274917602539,-8.8364410400391,-1.0,1000.0,1
631,2,1,5138178,13.283157348633,-8.8378143310547,-1.0,1000.0,1
631,2,1,5138179,13.274917602539,-8.8364410400391,-1.0,1000.0,1
631,2,1,5138187,13.2840396,-8.8385255,-1.0,500.0,67
631,2,1,5142273,13.40814,-8.934099,-1.0,1000.0,2
631,2,1,5142274,13.464527,-8.963934,-1.0,1000.0,1
631,2,1,5142275,13.420749,-8.935276,-1.0,1000.0,1
631,2,1,5142529,13.36487,-8.952435,-1.0,2791.0,2
631,2,1,5142530,13.373959,-8.975933,-1.0,3427.0,11
631,2,1,5142531,13.28029,-8.952723,-1.0,9083.0,4
631,2,1,5142539,13.368702,-8.976745,-1.0,1000.0,4
631,2,1,5142540,13.358617,-8.975421,-1.0,1000.0,27
631,2,1,5143040,13.368536,-8.901376,-1.0,1000.0,7
631,2,1,5143041,13.371479,-8.904168,-1.0,1000.0,48
631,2,1,5143042,13.365772,-8.899789,-1.0,1000.0,37
631,2,1,5143043,13.360061,-8.898926,-1.0,1349.0,2
631,2,1,5143051,13.372453,-8.904388,-1.0,1000.0,10
631,2,1,5143052,13.3651,-8.899437,-1.0,1000.0,18
631,2,1,5143296,13.361173,-8.926562,-1.0,1000.0,26
631,2,1,5143297,13.35928,-8.929171,-1.0,1000.0,8
631,2,1,5143298,13.356459,-8.932061,-1.0,1000.0,55
631,2,1,5143299,13.348388,-8.925705,-1.0,1342.0,2
631,2,1,5143307,13.357513,-8.935108,-1.0,1000.0,1
631,2,1,5143308,13.357552,-8.935093,-1.0,1000.0,1
631,2,1,5143809,13.402634,-9.014969,-1.0,1000.0,2
631,2,1,5146378,13.259814,-8.850027,-1.0,1000.0,9
631,2,1,5146380,13.259843,-8.850065,-1.0,1000.0,1
631,2,1,5146624,13.283007,-8.848152,-1.0,1000.0,20
631,2,1,5146625,13.283428,-8.848894,-1.0,2487.0,16
631,2,1,5146626,13.283059,-8.847507,-1.0,1000.0,5
631,2,1,5146635,13.279793,-8.846211,-1.0,1000.0,13
631,2,1,5146880,13.261328,-8.837473,-1.0,1000.0,4
631,2,1,5146881,13.263351,-8.838333,-1.0,1000.0,5
631,2,1,5146882,13.26285233,-8.83812871,-1.0,894.7,20
631,2,1,5148160,13.334416,-8.879987,-1.0,1000.0,13
631,2,1,5148161,13.337598,-8.882138,-1.0,1000.0,11
631,2,1,5148162,13.34358215332,-8.8858795166016,-1.0,1000.0,3
631,2,1,5148170,13.331628,-8.878129,-1.0,1000.0,9
631,2,1,5148171,13.33798,-8.882177,-1.0,1000.0,7
631,2,1,5148172,13.331455,-8.878102,-1.0,1000.0,1
631,2,1,5148416,13.3536822787879,-8.89209005151515,-1.0,674.242424242424,66
631,2,1,5148417,13.359296,-8.895768,-1.0,1000.0,13
631,2,1,5148418,13.360061645508,-8.8954925537109,-1.0,1000.0,1
631,2,1,5148419,13.349075317383,-8.8996124267578,-1.0,1000.0,2
631,2,1,5148426,13.355016,-8.893056,-1.0,1000.0,22
631,2,1,5148428,13.350897,-8.890435,-1.0,1000.0,1
631,2,1,5148673,13.145697,-8.959771,-1.0,1000.0,1
631,2,1,5148674,13.393020629883,-8.9174652099609,-1.0,1000.0,1
631,2,1,5148675,13.145697,-8.959771,-1.0,1000.0,1
631,2,1,5148930,13.386841,-8.949051,-1.0,1000.0,2
631,2,1,5148931,13.372421264648,-8.9463043212891,-1.0,1000.0,3
631,2,1,5149185,13.438062,-8.946704,-1.0,1000.0,2
631,2,1,5149186,13.444595,-8.951074,-1.0,1049.0,3
631,2,1,5149187,13.408642,-8.960951,-1.0,3331.0,2
631,2,1,5149441,13.468529,-8.966905,-1.0,1000.0,2
631,2,1,5149442,13.465587,-8.964964,-1.0,1000.0,2
631,2,1,5149443,13.460758,-8.961819,-1.0,1000.0,3
631,2,1,5149697,13.37101,-8.903488,-1.0,1000.0,1
631,2,1,5149698,13.397646,-8.92328,-1.0,3661.0,5
631,2,1,5149699,13.393020629883,-8.9325714111328,-1.0,1000.0,1
631,2,1,5150209,13.2306075,-8.812423,-1.0,500.0,571
631,2,1,5150219,13.2305962,-8.8124173,-1.0,500.0,4
631,2,1,5150465,13.2840318,-8.8385182,-1.0,500.0,178
631,2,1,5150466,13.297163,-8.856476,-1.0,1000.0,11
631,2,1,5150467,13.293607,-8.854378,-1.0,1000.0,7
631,2,1,5150720,13.300493,-8.858488,-1.0,1000.0,7
631,2,1,5150721,13.308014,-8.863333,-1.0,1000.0,38
631,2,1,5150722,13.304551,-8.861225,-1.0,1000.0,19
631,2,1,5150723,13.305130004883,-8.8611602783203,-1.0,1000.0,3
631,2,1,5150731,13.307016,-8.862561,-1.0,1000.0,5
631,2,1,5150732,13.303671,-8.860601,-1.0,1000.0,4
631,2,1,5150977,13.280924,-8.84719,-1.0,1000.0,1
631,2,1,5150978,13.280924,-8.84719,-1.0,1000.0,1
631,2,1,5151233,13.346513,-8.934447,-1.0,17561.0,4
631,2,1,5151234,13.39714050293,-8.9943695068359,-1.0,1000.0,1
631,2,1,5151235,13.399887084961,-9.0012359619141,-1.0,1000.0,1
631,2,1,5152770,13.32166,-8.872032,-1.0,1000.0,23
631,2,1,5152771,13.32160949707,-8.8721466064453,-1.0,1000.0,2
631,2,1,5152778,13.332162,-8.878627,-1.0,1000.0,1
631,2,1,5164802,13.489151000977,-8.8968658447266,-1.0,1000.0,1
631,2,1,5171456,13.420203,-8.952898,-1.0,1000.0,22
631,2,1,5171457,13.410381,-8.96505,-1.0,3257.0,24
631,2,1,5171458,13.383964,-8.978366,-1.0,1000.0,1
631,2,1,5171969,13.248697,-8.810777,-1.0,1587.0,5
631,2,1,5171970,13.252157,-8.811741,-1.0,1000.0,7
631,2,1,5171971,13.249623,-8.810395,-1.0,1688.0,15
631,2,1,5174017,13.331056,-8.877906,-1.0,1242.0,55
631,2,1,5174019,13.323306,-8.873029,-1.0,1000.0,12
631,2,1,5175553,13.364181518555,-8.9380645751953,-1.0,1000.0,3
631,2,1,5175555,13.358688354492,-8.9339447021484,-1.0,1000.0,3
631,2,1,5177601,13.378339,-8.9549,-1.0,1000.0,50
631,2,1,5177602,13.385732,-8.966901,-1.0,1479.0,25
631,2,1,5177603,13.388351,-8.963882,-1.0,1000.0,5
631,2,1,5178883,13.290023803711,-8.8515472412109,-1.0,1000.0,1
631,2,1,5178884,13.2895113,-8.8514025,-1.0,500.0,29
631,2,1,5178886,13.2892062,-8.8511903,-1.0,500.0,81
