mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
648,0,5,15493,28.6035156,-20.1650162,-1.0,500.0,2
648,0,5,16403,28.5792465,-20.1758327,-1.0,500.0,1
648,0,37,64,28.6034203,-20.1650581,-1.0,500.0,1
648,0,48,150,28.5791435,-20.1756382,-1.0,500.0,1
648,0,96,4608,30.2409476,-17.5924773,-1.0,500.0,5
648,0,96,4737,31.1952726,-17.3019012,-1.0,500.0,4
648,0,96,5639,30.2408633,-17.59616,-1.0,500.0,1
648,0,96,5765,31.2035889,-17.5740267,-1.0,500.0,3
648,0,96,5769,31.2035867,-17.5740183,-1.0,500.0,1
648,0,96,20608,31.195525,-17.3023972,-1.0,500.0,3
648,0,96,21632,31.2014926,-17.506874,-1.0,22509.0,3
648,0,257,22208,28.5789661,-20.1756382,-1.0,500.0,1
648,0,259,597,28.5529423,-20.1902332,-1.0,500.0,1
648,0,265,6,30.0469437,-20.2831402,-1.0,500.0,1
648,0,275,597,28.5790863,-20.1758995,-1.0,500.0,1
648,0,296,22201,28.5739803,-20.1588459,-1.0,500.0,1
648,0,358,22403,30.8438835,-20.0741997,-1.0,500.0,1
648,0,407,42963,29.8261375,-18.9182911,-1.0,500.0,1
648,0,597,4,30.6464901,-20.9410076,-1.0,500.0,1
648,0,597,18,31.0093669,-17.8510099,-1.0,6334.0,5
648,0,597,20,31.0393214,-17.8622106,-1.0,14968.0,3
648,0,597,24,31.0247898,-17.8803616,-1.0,500.0,1
648,0,597,16441,28.5789547,-20.1756954,-1.0,500.0,1
648,0,917,16441,28.5790558,-20.1757812,-1.0,500.0,1
648,0,21001,10461,31.046948,-17.832606,-1.0,500.0,1
648,0,21001,10463,31.04187,-17.835088,-1.0,500.0,2
648,0,21001,10692,31.04673,-17.831646,-1.0,500.0,2
648,0,21001,10693,31.046786,-17.832224,-1.0,500.0,2
648,0,21001,13672,31.049114,-17.832218,-1.0,500.0,2
648,0,21001,13873,30.996454,-17.792196,-1.0,500.0,1
648,0,21002,13811,31.794392,-17.646848,-1.0,500.0,26
648,0,21002,26621,30.899908,-17.834672,-1.0,500.0,27
648,0,21004,10902,30.993018,-17.898618,-1.0,500.0,2
648,0,21007,11281,31.0500665,-17.867895,-1.0,500.0,4
648,0,21007,14182,30.984534,-17.958346,-1.0,500.0,1
648,0,21009,14761,31.04341,-17.713696,-1.0,500.0,1
648,0,21010,11071,31.037492,-17.859078,-1.0,500.0,1
648,0,21012,27202,31.149988,-17.877384,-1.0,500.0,1
648,0,21012,27203,31.155284,-17.883192,-1.0,500.0,2
648,0,21013,12971,30.856192,-18.257512,-1.0,500.0,23
648,0,22119,22855,31.5277,-16.918104,-1.0,500.0,4
648,0,22121,21406,30.899864,-17.834682,-1.0,500.0,25
648,0,22201,15493,28.6035156,-20.1650162,-1.0,500.0,1
648,0,22208,64,28.5853933,-20.1728888,-1.0,2074.0,4
648,0,22208,15343,28.5523156,-20.1980631,-1.0,500.0,3
648,0,22208,16403,28.5791346,-20.1756366,-1.0,500.0,6
648,0,22208,16405,28.5802803,-20.1709061,-1.0,500.0,1
648,0,22208,16441,28.5793582,-20.1757529,-1.0,625.0,24
648,0,22403,23801,30.8219528,-20.0543499,-1.0,500.0,1
648,0,22403,23982,30.83219,-20.07732,-1.0,500.0,2
648,0,22403,23991,30.8980497,-20.2317215,-1.0,18309.0,7
648,0,22430,23654,31.791436,-20.834232,-1.0,500.0,1
648,0,22531,17104,32.304596,-19.571268,-1.0,500.0,2
648,0,23101,10271,30.998514,-17.787766,-1.0,500.0,22
648,0,23101,26813,30.899802,-17.834644,-1.0,500.0,24
648,1,1,1634,32.641755,-19.022827,-1.0,1991.0,2
648,1,1,41942,29.8387871,-18.9448509,-1.0,500.0,2
648,1,1,1794051,25.777359008789,-17.955093383789,-1.0,1000.0,1
648,1,1,1804034,28.582992553711,-20.15510559082,-1.0,1000.0,1
648,1,1,1804035,28.582992553711,-20.150985717773,-1.0,1000.0,1
648,1,1,1920001,31.032943725586,-17.827377319336,-1.0,1000.0,1
648,1,1,1920003,31.028823852539,-17.836990356445,-1.0,1000.0,1
648,1,1,1920257,31.03157043457,-17.823257446289,-1.0,1000.0,1
648,1,1,1920258,31.058578,-17.844315,-1.0,1000.0,3
648,1,1,1920259,31.030197143555,-17.83561706543,-1.0,1000.0,1
648,1,1,1921281,31.057662963867,-17.819137573242,-1.0,1000.0,2
648,1,1,1921282,31.07551574707,-17.820510864258,-1.0,1000.0,1
648,1,1,1921283,31.061096,-17.824631,-1.0,1000.0,2
648,1,1,1921537,31.046676635742,-17.827377319336,-1.0,1000.0,1
648,1,1,1921538,31.061782836914,-17.853469848633,-1.0,1000.0,1
648,1,1,1922561,31.046676635742,-17.81364440918,-1.0,1000.0,1
648,1,1,1922817,31.05835,-17.825317,-1.0,1000.0,2
648,1,1,1922818,31.064529418945,-17.831497192383,-1.0,1000.0,3
648,1,1,1923073,31.071739,-17.797852,-1.0,1000.0,4
648,1,1,1923075,31.0746,-17.811356,-1.0,1000.0,3
648,1,1,1923585,31.063843,-17.823257,-1.0,1000.0,2
648,1,1,1923586,31.068649291992,-17.830123901367,-1.0,1000.0,1
648,1,1,1923587,31.059036,-17.825317,-1.0,1000.0,4
648,1,1,1924097,31.009735,-17.761013,-1.0,6364.0,40
648,1,1,1924098,31.018711,-17.77669,-1.0,1000.0,22
648,1,1,1924099,30.982204,-17.778192,-1.0,1000.0,38
648,1,1,1924353,31.04908,-17.785205,-1.0,1000.0,172
648,1,1,1924354,31.045865,-17.79548,-1.0,1000.0,22
648,1,1,1924355,31.038437,-17.800696,-1.0,1000.0,7
648,1,1,1930497,31.018008,-17.752876,-1.0,6761.0,8
648,1,1,1930498,31.048388,-17.786559,-1.0,1000.0,65
648,1,1,1930499,30.988174,-17.776409,-1.0,1105.0,35
648,1,1,1930753,31.027450561523,-17.808151245117,-1.0,1000.0,1
648,1,1,1930754,31.03157043457,-17.820510864258,-1.0,1000.0,1
648,1,1,1931009,30.998941,-17.756186,-1.0,1028.0,25
648,1,1,1931010,30.998723,-17.765616,-1.0,1000.0,37
648,1,1,1931011,30.984212,-17.770689,-1.0,1000.0,68
648,1,1,1931265,31.020584106445,-17.871322631836,-1.0,1000.0,1
648,1,1,1931521,31.045761,-17.769699,-1.0,1000.0,3
648,1,1,1931522,31.05123,-17.77353,-1.0,1000.0,19
648,1,1,1931523,31.044519,-17.771072,-1.0,1000.0,28
648,1,1,1932033,31.070022583008,-17.834243774414,-1.0,1000.0,2
648,1,1,1932034,31.070709,-17.842484,-1.0,1000.0,2
648,1,1,1933057,31.060867,-17.785721,-1.0,1000.0,6
648,1,1,1933058,31.06315612793,-17.790298461914,-1.0,1000.0,2
648,1,1,1933059,31.054001,-17.790298,-1.0,1000.0,12
648,1,1,1933826,31.048508,-17.830582,-1.0,1000.0,3
648,1,1,1935105,31.038437,-17.801579,-1.0,1000.0,14
648,1,1,1935106,31.043056,-17.806403,-1.0,1000.0,11
648,1,1,1935107,31.03569,-17.804424,-1.0,1000.0,14
648,1,1,1935361,31.031227,-17.829781,-1.0,1000.0,4
648,1,1,1935362,31.05354309082,-17.850723266602,-1.0,1000.0,2
648,1,1,1935363,31.035690307617,-17.841110229492,-1.0,1000.0,1
648,1,1,1935617,31.049423,-17.826691,-1.0,1000.0,6
648,1,1,1935618,31.049423217773,-17.828750610352,-1.0,1000.0,1
648,1,1,1935874,31.006851196289,-17.794418334961,-1.0,1000.0,2
648,1,1,1935875,30.984842,-17.78018,-1.0,1000.0,38
648,1,1,1936129,31.023788,-17.707901,-1.0,2247.0,3
648,1,1,1936130,31.035268,-17.755861,-1.0,1000.0,13
648,1,1,1936131,31.01031,-17.74971,-1.0,2847.0,27
648,1,1,1936642,31.072769165039,-17.816390991211,-1.0,1000.0,1
648,1,1,1936898,31.04599,-17.819138,-1.0,1000.0,4
648,1,1,1936899,31.043930053711,-17.819137573242,-1.0,1000.0,2
648,1,1,1937153,31.028458,-17.752121,-1.0,1000.0,15
648,1,1,1937154,31.04187,-17.76607,-1.0,1149.0,14
648,1,1,1937155,31.031537,-17.762967,-1.0,1000.0,41
648,1,1,1938178,31.027450561523,-17.810897827148,-1.0,1000.0,1
648,1,1,1939201,31.028137,-17.831497,-1.0,1000.0,2
648,1,1,1939202,31.030197143555,-17.836990356445,-1.0,1000.0,1
648,1,1,1939203,31.028823852539,-17.836990356445,-1.0,1000.0,1
648,1,1,1939458,31.032626,-17.888965,-1.0,2618.0,13
648,1,1,1939459,31.002731323242,-17.887802124023,-1.0,1000.0,1
648,1,1,1939713,30.978355,-17.77668,-1.0,1000.0,132
648,1,1,1939714,31.026077270508,-17.809524536133,-1.0,1000.0,1
648,1,1,1939970,31.026077270508,-17.80403137207,-1.0,1000.0,2
648,1,1,1939971,31.016464233398,-17.799911499023,-1.0,1000.0,1
648,1,1,1940225,31.043701,-17.816849,-1.0,1000.0,6
648,1,1,1940227,31.048508,-17.817764,-1.0,1000.0,3
648,1,1,1940737,31.045303344727,-17.827377319336,-1.0,1000.0,3
648,1,1,1940738,31.046219,-17.832413,-1.0,1505.0,6
648,1,1,1940739,31.043930053711,-17.827377319336,-1.0,1000.0,1
648,1,1,1940993,31.043930053711,-17.830123901367,-1.0,1000.0,1
648,1,1,1940994,31.065902709961,-17.85758972168,-1.0,1000.0,1
648,1,1,1942273,31.050797,-17.827835,-1.0,1000.0,3
648,1,1,1942274,31.06315612793,-17.852096557617,-1.0,1000.0,1
648,1,1,1942275,31.048049926758,-17.831497192383,-1.0,1000.0,1
