mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
630,0,597,8,25.4788235,-10.7168376,-1.0,500.0,9
630,0,597,16,26.3003647,-10.6025916,-1.0,500.0,4
630,0,597,32,27.508688,-11.5868149,-1.0,500.0,1
630,0,1004,58877,15.2585286,-4.3789853,-1.0,500.0,8
630,0,1016,53138,15.3069906,-4.3074417,-1.0,500.0,1
630,0,1016,56647,15.3230562,-4.3069968,-1.0,500.0,2
630,0,1017,50947,15.2720299,-4.316082,-1.0,500.0,3
630,0,1017,59807,15.2784578,-4.3170701,-1.0,500.0,11
630,0,1017,61117,15.2930851,-4.314497,-1.0,500.0,1
630,0,1017,64486,15.2796511,-4.3146584,-1.0,500.0,2
630,0,1027,55203,15.3756351,-4.4087446,-1.0,500.0,2
630,0,1027,59727,15.3952961,-4.3983932,-1.0,500.0,2
630,0,2001,51097,27.4753954,-11.6590922,-1.0,500.0,3
630,0,2001,52848,27.4926835,-11.6696477,-1.0,500.0,2
630,0,2001,55768,27.4850521,-11.6411934,-1.0,500.0,2
630,0,2001,58936,27.5346079,-11.6507392,-1.0,500.0,2
630,0,2010,51088,27.541274,-11.57034,-1.0,500.0,4
630,0,2010,53208,27.5306843,-11.5879105,-1.0,500.0,5
630,0,2018,20422,26.6515646,-10.7734466,-1.0,500.0,2
630,0,2018,54731,27.2898674,-11.3106823,-1.0,500.0,1
630,0,2022,23398,25.5067263,-10.7179394,-1.0,500.0,2
630,0,2022,51768,25.4700546,-10.7193308,-1.0,500.0,2
630,0,2022,52203,25.4906772,-10.7143538,-1.0,500.0,3
630,0,2022,53638,25.5116539,-10.7460704,-1.0,500.0,2
630,0,2022,53997,25.7315655,-10.7805762,-1.0,500.0,2
630,0,2022,58997,25.4856186,-10.7131929,-1.0,500.0,1
630,0,2022,62138,25.5148926,-10.7040696,-1.0,500.0,2
630,0,2022,62498,25.9108854,-10.7266359,-1.0,500.0,4
630,0,2023,23086,26.3229249,-10.5425952,-1.0,566.0,11
630,0,2023,23087,26.3197488,-10.5449149,-1.0,500.0,4
630,0,2023,23088,26.3200157,-10.545014,-1.0,500.0,11
630,0,2023,23198,26.205315,-10.578264,-1.0,500.0,6
630,0,2023,51581,26.290816,-10.5821798,-1.0,1536.0,6
630,0,2023,51993,26.2845678,-10.6395154,-1.0,500.0,2
630,0,2023,51996,26.3018247,-10.6187046,-1.0,500.0,4
630,0,2023,51999,26.2949543,-10.6420555,-1.0,500.0,1
630,0,2023,54107,26.1961021,-10.5689392,-1.0,500.0,1
630,0,2023,54108,26.1930722,-10.5664589,-1.0,525.0,10
630,0,2023,55121,26.2049168,-10.5657137,-1.0,500.0,4
630,0,2023,55393,26.2922003,-10.5711692,-1.0,500.0,10
630,0,2023,55396,26.3144817,-10.5520784,-1.0,500.0,2
630,0,2023,55397,26.312521,-10.5649967,-1.0,500.0,1
630,0,2023,55398,26.3015552,-10.5663733,-1.0,500.0,7
630,0,2023,59788,26.3056282,-10.6167176,-1.0,1854.0,18
630,0,2023,60587,26.3177727,-10.5459145,-1.0,500.0,6
630,0,2023,60588,26.317931,-10.5472028,-1.0,500.0,6
630,0,2023,64947,26.4545404,-10.6662618,-1.0,500.0,7
630,0,4201,27582,15.3457887,-4.3500102,-1.0,500.0,4
630,0,4201,34263,15.3482351,-4.3563819,-1.0,500.0,1
