mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
421,0,1,11442,44.207321,15.387395,-1.0,1000.0,1
421,1,101,11,44.179458618164,15.34309387207,-1.0,1000.0,1
421,1,101,12,44.179458618164,15.338973999023,-1.0,1000.0,6
421,1,101,13,44.176732,15.340367,-1.0,1000.0,68
421,1,101,173,44.208297729492,15.329360961914,-1.0,1000.0,17
421,1,101,181,44.187698,15.334854,-1.0,1000.0,29
421,1,101,182,44.192168,15.334854,-1.0,1000.0,173
421,1,101,184,44.184153,15.334982,-1.0,1000.0,86
421,1,101,221,44.203171,15.334854,-1.0,1000.0,15
421,1,101,222,44.199128,15.332048,-1.0,1000.0,93
421,1,101,223,44.199121,15.335753,-1.0,1069.0,107
421,1,101,362,44.207866,15.332009,-1.0,1000.0,70
421,1,101,363,44.206306,15.334854,-1.0,1000.0,20
421,1,101,651,44.176768,15.340347,-1.0,1000.0,74
421,1,101,661,44.179949,15.337045,-1.0,1000.0,84
421,1,101,663,44.181976,15.334854,-1.0,1000.0,12
421,1,101,683,44.17756,15.339055,-1.0,1000.0,34
421,1,104,1552,44.029769897461,13.57292175293,-1.0,1000.0,3
421,1,104,1581,44.029769897461,13.57292175293,-1.0,1000.0,2
421,1,104,1612,44.029769897461,13.57292175293,-1.0,1000.0,1
421,1,104,42022,44.029769897461,13.57292175293,-1.0,1000.0,1
421,1,106,2003,44.1387428,13.9687532,-1.0,500.0,2
421,1,106,2122,44.1745906,13.9644476,-1.0,750.0,4
421,1,106,7452,44.1745211,13.96441035,-1.0,750.0,6
421,1,106,7453,44.17453105,13.96441715,-1.0,750.0,6
421,1,106,17793,44.1388795,13.96868,-1.0,500.0,3
421,1,106,18003,44.17458725,13.9644431,-1.0,750.0,4
421,1,106,18081,44.17440815,13.9642038,-1.0,750.0,2
421,1,106,18103,44.1388199,13.9687092,-1.0,500.0,1
421,1,106,18213,44.1388529,13.9686881,-1.0,500.0,115
421,1,106,18214,44.1388133,13.9687138,-1.0,1408.0,3367
421,1,106,18503,44.1387298,13.9687692,-1.0,500.0,6
421,1,106,18531,44.1387424,13.9687507,-1.0,500.0,4
421,1,106,18532,44.1388197,13.9687076,-1.0,500.0,920
421,1,106,18533,44.138813,13.9687129,-1.0,1408.0,4861
421,1,106,18611,44.1388132,13.9687044,-1.0,1603.0,4986
421,1,106,18612,44.1388109,13.9687059,-1.0,1603.0,4923
421,1,106,18613,44.138873,13.9686793,-1.0,500.0,155
421,1,106,18614,44.1387269,13.9687694,-1.0,500.0,10
421,1,106,18621,44.1387943,13.968722,-1.0,500.0,25
421,1,106,19031,44.1388167,13.9687062,-1.0,1603.0,5110
421,1,106,19032,44.1388141,13.968713,-1.0,1408.0,3315
421,1,106,19033,44.1388141,13.9687129,-1.0,1408.0,3799
421,1,106,19183,44.1394209,13.9654097,-1.0,500.0,3
421,1,113,7721,44.8559282,13.5697876,-1.0,42888.0,20841
421,1,113,7722,44.8497704,13.54745,-1.0,89141.0,50300
421,1,113,7723,44.7221459,13.8154585,-1.0,24053.0,560
421,1,113,7731,44.8487854,13.5378766,-1.0,11649.0,61680
421,1,113,7732,44.8487828,13.5378388,-1.0,11653.0,64310
421,1,113,7733,44.848783,13.5378387,-1.0,735.0,64180
421,1,113,7781,44.8487837,13.5378411,-1.0,11653.0,49634
421,1,113,7782,44.7654577,13.7024127,-1.0,97963.0,617
421,1,113,7783,44.856142,13.5425717,-1.0,73719.0,14471
421,1,113,9014,44.9646395,13.8053778,-1.0,25448.0,19795
421,1,113,9331,44.857501,13.642834,-1.0,41949.0,952
421,1,113,9332,44.8566753,13.6350964,-1.0,43414.0,4543
421,1,113,9381,44.7124867,13.8107891,-1.0,24109.0,7524
421,1,113,9382,44.7041033,13.8387205,-1.0,25148.0,11920
421,1,113,9384,44.7048345,13.8454633,-1.0,24173.0,4819
421,1,113,9421,44.9628331,13.8046836,-1.0,25944.0,26840
421,1,113,9422,44.9645896,13.805359,-1.0,26148.0,27367
421,1,113,9431,44.703275,13.8443104,-1.0,776.0,2553
421,1,113,9432,44.7033268,13.8415302,-1.0,12444.0,12998
421,1,113,9433,44.7032656,13.8441732,-1.0,19670.0,3579
421,1,113,9434,44.703285,13.8418124,-1.0,22699.0,10759
421,1,113,10701,44.8546263,13.6439609,-1.0,85050.0,4761
421,1,113,10702,44.855114,13.6148079,-1.0,87088.0,3993
421,1,113,10703,44.8542599,13.6387953,-1.0,85146.0,874
421,1,113,10721,44.7040696,13.8386559,-1.0,14005.0,12777
421,1,113,10722,44.7044795,13.8379853,-1.0,23671.0,17172
421,1,113,10723,44.7030745,13.8427805,-1.0,19669.0,2097
421,1,113,10724,44.7032511,13.842449,-1.0,19693.0,2527
421,1,113,10733,44.7089314,13.8224184,-1.0,12135.0,1870
421,1,113,17711,44.695679,13.949203,-1.0,1000.0,10
421,1,113,17712,44.7065951,13.8318942,-1.0,13012.0,845
421,1,113,19511,44.726028442383,13.932723999023,-1.0,1000.0,1
421,1,113,19551,44.740139,13.7206126,-1.0,13969.0,5717
421,1,113,19552,44.7408839,13.7168896,-1.0,15028.0,4510
421,1,113,19553,44.73925,13.7179267,-1.0,6854.0,4634
421,1,113,19571,44.7032474,13.842133,-1.0,19697.0,14484
421,1,115,3262,44.776218,13.66761,-1.0,500.0,35
421,1,115,3263,45.0180929,12.8210676,-1.0,22098.0,16
421,1,115,9391,45.2656499,13.9363548,-1.0,500.0,4172
421,1,115,9392,45.2656511,13.9363571,-1.0,500.0,2602
421,1,115,9393,45.2656522,13.9363587,-1.0,500.0,844
421,1,115,9401,45.224472,13.819749,-1.0,1000.0,1
421,1,115,9402,44.9369986,13.6006707,-1.0,89895.0,24
421,1,115,9403,45.1177401,13.5789595,-1.0,89982.0,335
421,1,115,9411,45.2656314021548,13.9363026992084,-1.0,500.219876868953,2274
421,1,115,9412,45.2656499,13.9363549,-1.0,500.0,488
421,1,115,9413,45.2656507,13.9363563,-1.0,500.0,127
421,1,115,9414,45.2656498,13.9363545,-1.0,500.0,502
421,1,115,9452,45.308778,13.692605,-1.0,2053.0,13
421,1,115,9453,45.30479,13.699396,-1.0,1000.0,3
421,1,115,9471,45.2656505,13.9363561,-1.0,500.0,4011
421,1,115,9472,45.2656503,13.9363557,-1.0,500.0,3872
421,1,115,9473,45.2656496,13.9363542,-1.0,500.0,3052
421,1,115,9531,45.2656506,13.9363563,-1.0,500.0,29
421,1,115,9553,45.115921,13.6208317,-1.0,42100.0,10939
421,1,115,10761,45.2656507,13.9363565,-1.0,500.0,10494
421,1,115,10762,45.2656467505841,13.9363453236787,-1.0,500.047874377633,10444
421,1,115,10763,45.2656468348818,13.9363455602008,-1.0,500.046921921922,10656
421,1,115,10764,45.2656507,13.9363565,-1.0,500.0,10592
421,1,115,10771,45.2347823,13.7210478,-1.0,45313.0,172
421,1,115,10772,45.2720306940299,13.6933006291045,-1.0,90511.75,536
421,1,115,10773,44.9651106,13.6467932,-1.0,96147.0,1314
421,1,117,3541,43.299179077148,16.013259887695,-1.0,1000.0,1
421,1,117,4674,43.090438842773,16.040725708008,-1.0,1000.0,1
421,1,117,4711,43.090438842773,16.040725708008,-1.0,1000.0,1
421,1,118,6654,45.348129272461,15.480422973633,-1.0,1000.0,67
421,1,120,3932,48.996414,15.926468,-1.0,1000.0,5
421,1,130,7022,44.377212524414,14.716873168945,-1.0,1000.0,4
421,1,130,7032,44.425277709961,14.542465209961,-1.0,1000.0,1
421,1,130,7033,44.391078,14.635178,-1.0,11140.0,200
421,1,130,7051,44.395263,14.547016,-1.0,1000.0,118
421,1,130,7052,44.398385,14.542485,-1.0,1000.0,278
421,1,130,7053,44.395816,14.539151,-1.0,1000.0,75
421,1,130,7054,44.39841,14.545933,-1.0,2172.0,278
421,1,130,7101,44.401437,14.55411,-1.0,9335.0,4642
421,1,130,7102,44.402922,14.550077,-1.0,2551.0,466
421,1,130,7103,44.393353,14.553398,-1.0,1000.0,154
421,1,130,7141,44.410504,14.538526,-1.0,1792.0,99
421,1,130,7143,44.396957,14.539229,-1.0,1000.0,143
421,1,130,7261,44.385881,14.576883,-1.0,1000.0,16
421,1,130,7263,44.362795,14.620194,-1.0,8727.0,10
421,1,130,7271,44.417522,14.543507,-1.0,1249.0,394
421,1,130,7272,44.401236,14.543156,-1.0,1330.0,1267
421,1,130,7273,44.401611,14.544922,-1.0,8248.0,900
421,1,130,7342,44.390318,14.559571,-1.0,14861.0,5027
421,1,130,7343,44.388702,14.565628,-1.0,1108.0,30
421,1,130,10612,44.382584,14.687631,-1.0,15226.0,153
421,1,200,564482,44.1513227,15.4065456,-1.0,500.0,3
421,1,201,104,44.223598,15.364943,-1.0,1000.0,1
